Document samples/pg2701.txt
rocket 1 0.477121
embracing 4 1.90849
heat 16 2.81746
fa 2 0.352183
sweeter 1 0.477121
dreaming 6 2.86273
liar 1 0.477121
sides 28 4.93056
believe 27 4.75446
tide 13 6.20258
aptitude 1 0.477121
children 18 3.16964
conventional 1 0.477121
spin 3 1.43136
crossing 18 8.58818
voyaged 1 0.477121
hotels 1 0.477121
make 115 0
despite 2 0
bred 9 4.29409
storms 8 1.40873
denotes 1 0.477121
beside 6 1.05655
escaped 11 1.937
crazy 14 6.6797
influential 1 0.477121
explain 8 3.81697
afore 5 2.38561
herman 2 0.954243
chart 8 3.81697
selecting 3 1.43136
glimmer 3 0.528274
fairie 1 0.477121
draw 12 5.72546
husband 3 0.528274
led 10 1.76091
amputations 1 0.477121
developed 3 1.43136
breaches 5 2.38561
vast 73 12.8547
crew 141 67.2741
bodies 9 1.58482
regarded 25 4.40228
scores 4 1.90849
blows 24 4.22619
till 123 21.6592
affixed 1 0.477121
hist 9 4.29409
anglo 1 0.176091
dorchester 1 0.477121
maker 5 2.38561
palace 4 0.704365
man 530 0
back 164 28.879
spontaneously 1 0.176091
slay 4 0.704365
powerfully 1 0.477121
absolute 4 0.704365
hurl 1 0.176091
pictures 19 9.0653
trudging 1 0.477121
washed 4 1.90849
web 1 0
belie 2 0.954243
luff 3 1.43136
flesh 23 4.0501
congenial 5 2.38561
guess 18 8.58818
assuring 1 0.477121
specksnyder 4 1.90849
contemplating 1 0.477121
chiefly 19 9.0653
generally 31 5.45883
plainly 39 6.86756
substituting 2 0.954243
eludes 2 0.954243
feature 5 2.38561
thwack 1 0.477121
more 509 0
whatsoever 7 0
shaped 8 1.40873
nescio 1 0.477121
peasants 1 0.477121
quid 2 0.352183
hosmannus 1 0.477121
dares 1 0.477121
sinecure 1 0.477121
shown 6 1.05655
opportunities 2 0
missing 16 7.63394
captive 4 0.704365
mutinying 1 0.477121
annus 1 0.477121
incuriously 1 0.477121
wonderfullest 1 0.477121
undiscernible 2 0.954243
estimated 3 1.43136
mercy 9 1.58482
hebrew 4 1.90849
withered 2 0.954243
unwithdrawn 1 0.477121
sebond 1 0.477121
caps 5 2.38561
apprehensiveness 4 1.90849
assumption 1 0.176091
kitten 1 0.477121
unmitigated 1 0.477121
summer 16 7.63394
brushed 2 0.954243
castors 2 0.954243
patent 2 0.954243
holy 21 3.69792
